epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1169.98,0.84251,0.51138,0.96837,0.96273,0.92261,0.96537,0.69477,1.10053,0.66578,1.0347,0.000824492,0.000824492,0.000824492
58,1187.2,0.86859,0.49989,0.94263,0.95861,0.89286,0.96492,0.69839,1.12455,0.65028,1.04895,0.000794038,0.000794038,0.000794038
59,1205.94,0.88159,0.5395,0.97113,0.97693,0.92857,0.9635,0.68575,1.17396,0.65559,1.08497,0.000763797,0.000763797,0.000763797
60,1224.25,0.87612,0.49951,0.97929,0.97613,0.92857,0.97222,0.70165,1.09025,0.62289,1.05455,0.000733799,0.000733799,0.000733799
61,1240.11,0.83184,0.49526,0.96108,0.98141,0.94253,0.9726,0.72208,1.00522,0.5843,1.04282,0.000704073,0.000704073,0.000704073
62,1256.39,0.80056,0.47469,0.94363,0.92943,0.94078,0.96329,0.7059,1.09013,0.64665,1.07852,0.000674649,0.000674649,0.000674649
63,1273.25,0.88719,0.48686,0.96004,0.94791,0.92857,0.96721,0.75276,0.90116,0.59767,0.9885,0.000645557,0.000645557,0.000645557
64,1288.65,0.87374,0.49916,0.98507,0.96296,0.92849,0.96647,0.71657,1.03157,0.63476,1.04605,0.000616824,0.000616824,0.000616824
65,1304.59,0.79152,0.47098,0.94272,0.95746,0.92857,0.96805,0.73655,0.93051,0.60804,1.00302,0.000588479,0.000588479,0.000588479
66,1323.61,0.80076,0.46554,0.94902,0.968,0.92857,0.96905,0.72108,1.00116,0.61698,1.01683,0.000560549,0.000560549,0.000560549
67,1340.35,0.81794,0.46017,0.94817,0.98105,0.92441,0.97042,0.75415,0.94604,0.57686,1.01536,0.000533064,0.000533064,0.000533064
68,1356.94,0.82146,0.48647,0.93431,0.97284,0.92857,0.9744,0.71251,1.01275,0.58384,1.04003,0.000506049,0.000506049,0.000506049
69,1373.53,0.8181,0.44904,0.93148,0.96037,0.91071,0.97479,0.72269,0.98992,0.5632,1.02152,0.000479531,0.000479531,0.000479531
70,1390.64,0.84978,0.48132,0.95621,0.94687,0.95482,0.97986,0.71835,1.05784,0.56317,1.05033,0.000453537,0.000453537,0.000453537
71,1405.48,0.80358,0.45963,0.93713,0.92601,0.98214,0.98313,0.71045,1.09882,0.57579,1.05773,0.000428093,0.000428093,0.000428093
