epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2690.87,0.70082,0.39491,0.879,0.99056,0.95415,0.99184,0.77596,0.8825,0.46823,0.94673,0.000127904,0.000127904,0.000127904
87,2716.33,0.70984,0.3937,0.87913,0.99056,0.95421,0.99192,0.77543,0.9025,0.466,0.94702,0.000114221,0.000114221,0.000114221
88,2743.56,0.75905,0.41341,0.88698,0.99014,0.96364,0.99237,0.77678,0.86796,0.44665,0.93829,0.000101423,0.000101423,0.000101423
89,2769.61,0.71761,0.39563,0.88376,0.99055,0.95455,0.99094,0.78314,0.84135,0.44096,0.93266,8.95213e-05,8.95213e-05,8.95213e-05
90,2798.71,0.73653,0.39906,0.87436,0.99008,0.95455,0.99176,0.77129,0.87785,0.44091,0.93892,7.8528e-05,7.8528e-05,7.8528e-05
91,2829.27,0.70129,0.37722,0.88356,0.9813,0.95421,0.98857,0.77841,0.86888,0.4554,0.94647,6.8454e-05,6.8454e-05,6.8454e-05
92,2862.66,0.69544,0.36979,0.86443,0.98128,0.95318,0.98727,0.77371,0.87458,0.45576,0.94959,5.93093e-05,5.93093e-05,5.93093e-05
93,2892.85,0.69276,0.36815,0.87929,0.98129,0.9534,0.98579,0.76045,0.90106,0.46573,0.9531,5.11027e-05,5.11027e-05,5.11027e-05
94,2916.12,0.67591,0.36519,0.86823,0.98129,0.95377,0.9864,0.77488,0.87889,0.45533,0.94748,4.38424e-05,4.38424e-05,4.38424e-05
95,2941.4,0.68404,0.36048,0.87091,0.98138,0.95848,0.98699,0.78105,0.86672,0.44929,0.94466,3.75356e-05,3.75356e-05,3.75356e-05
96,2967.28,0.66314,0.34691,0.87127,0.98131,0.95454,0.98743,0.77896,0.87048,0.45079,0.94563,3.21885e-05,3.21885e-05,3.21885e-05
97,2996.36,0.67037,0.35522,0.86892,0.98054,0.95455,0.98736,0.77744,0.87804,0.45235,0.95097,2.78064e-05,2.78064e-05,2.78064e-05
98,3026.13,0.67373,0.34758,0.87756,0.98136,0.95722,0.98757,0.78098,0.86255,0.44723,0.94799,2.43937e-05,2.43937e-05,2.43937e-05
99,3052.31,0.67488,0.35704,0.88109,0.98083,0.96364,0.98754,0.78355,0.85768,0.44365,0.94426,2.19535e-05,2.19535e-05,2.19535e-05
100,3076.9,0.67365,0.34441,0.87258,0.97107,0.96364,0.98628,0.78263,0.85598,0.44736,0.94143,2.04885e-05,2.04885e-05,2.04885e-05
